[8:25:34][ÆµµÀ-6666][R_ST]DONJI(8): ?r l         
[16:41:4][ÊÀ½ç]114514(9): 11         
[17:57:54][ÊÀ½ç]ASKKKK(8): R_omantic         
[17:58:0][ÊÀ½ç]Stnzzd2(10): Ç°Á½¸öÐÇÆÚÄÚÊ±ºòÎÒÃ»»Ø¹é         
[17:58:1][ÊÀ½ç]Stnzzd2(10): e.e         
[17:58:10][ÊÀ½ç]Stnzzd2(10): ¾ÍÄãÄÚ³µ¶Óma         
[17:58:16][ÊÀ½ç]ASKKKK(8): hahah         
[17:58:18][ÊÀ½ç]ASKKKK(8): ¶Ô°¡         
[17:58:21][ÊÀ½ç]Stnzzd2(10): .....         
[17:58:44][ÊÀ½ç]Stnzzd2(10): »¹ÊÇÏë½øRST         
[17:58:44][ÊÀ½ç]Stnzzd2(10): ..         
[17:58:53][ÊÀ½ç]ASKKKK(8): ²»ÊÕÈËÁË         
[17:58:58][ÊÀ½ç]Stnzzd2(10): »°ËµÕâµØ·½ÊÇÕæµÄÄÑ¸ã         
[17:59:0][ÊÀ½ç]Stnzzd2(10): ¸ã²»¶®         
[17:59:30][ÊÀ½ç]ASKKKK(8): ¹ý²»È¥¾Í´øµãÉ²³µ         
[17:59:59][ÊÀ½ç]ASKKKK(8): ÎÒÈ¥ÎÊÎÊRST»¹ÊÕ²»         
[18:0:7][ÊÀ½ç]Stnzzd2(10): ²»ÁË         
[18:0:8][ÊÀ½ç]Stnzzd2(10): e.e         
[18:0:14][ÊÀ½ç]Stnzzd2(10): ÑøÀÏ         
[18:0:20][ÊÀ½ç]Stnzzd2(10): µ±¸öÉ¢ÈË         
[18:0:50][ÊÀ½ç]ASKKKK(8): ¶¼ÑøÀÏÁËÏÖÔÚ         
[18:0:56][ÊÀ½ç]ASKKKK(8): ´ó³µ¶ÓÆäÊµ¶¼ºÜ¶àÇ±Ë®µÄ         
[18:1:17][ÊÀ½ç]ASKKKK(8): ÀÏÅÆ³µ¶ÓµÄÀÏÈË»ù±¾¶¼²»»îÔ¾ÁË         
[18:1:25][ÊÀ½ç]Stnzzd2(10): ÄãÊ²Ã´Ê±ºòÈëµÄSAMP         
[18:1:31][ÊÀ½ç]ASKKKK(8): 13Äê×óÓÒ°É         
[18:1:37][ÊÀ½ç]Stnzzd2(10): ÎÒ²Á         
[18:1:49][ÊÀ½ç]Stnzzd2(10): ÕæÔç         
[18:2:0][ÊÀ½ç]Stnzzd2(10): ÎÒ×øÄã³µÏÈ         
[18:2:3][ÊÀ½ç]ASKKKK(8): Ã»ÓÐÒ»Ö±ÍæÒ»ÏÂ         
[18:2:9][ÊÀ½ç]ASKKKK(8): ¶¼ÊÇÍæÒ»¶ÎÊ±¼äÓÖ²»ÍæÁË         
[18:2:14][ÊÀ½ç]Stnzzd2(10): ÎÒÒ²ÊÇ°¡         
[18:2:17][ÊÀ½ç]Stnzzd2(10): .         
[18:2:25][ÊÀ½ç]Stnzzd2(10): ÎÒÍËµÄÊ±¼ä¶¼±ÈÎÒÍæµÄÊ±¼ä¾Ã         
[18:2:38][ÊÀ½ç]ASKKKK(8): ÎÒÒ²ÊÇ         
[18:2:57][ÊÀ½ç]Stnzzd2(10): ÎÒÈë¿Ó¶¼Ã»µ½1Äê         
[18:2:58][ÊÀ½ç]Stnzzd2(10): e.e         
[18:3:7][ÊÀ½ç]Stnzzd2(10): »¹ÓÐÒ»°Ù¶àÌì         
[18:3:20][ÊÀ½ç]ASKKKK(8): ÄÇÄãºÜÀ÷º¦°¡         
[18:3:30][ÊÀ½ç]ASKKKK(8): ³µÅÜÕâÃ´¿ì         
[18:3:46][ÊÀ½ç]Stnzzd2(10): ¹Ø¼üÊÇ ÎÒÈë¿ÓÁË50¶àÌì ¾ÍÍË¼¸Ê±ÌìÔÙ»ØÀ´ÔÙÍË         
[18:3:48][ÊÀ½ç]Stnzzd2(10): e.e         
[18:3:58][ÊÀ½ç]Stnzzd2(10): Ê®         
[18:4:4][ÊÀ½ç]ASKKKK(8): ²»¿ÉÄÜÌìÌìÍæµÄ         
[18:4:8][ÊÀ½ç]Stnzzd2(10): ·´ÕýÎÒÎÞÁÄÁË¾ÍÍË         
[18:4:11][ÊÀ½ç]ASKKKK(8): ±Ï¾¹ÏÖÊµÉú»î»¹ÊÇ±È½ÏÖØÒªµÄ         
[18:4:13][ÊÀ½ç]Stnzzd2(10): Ã»ÈËÍæÁË¾ÍÍËÁË         
[18:4:17][ÊÀ½ç]ASKKKK(8): Ò²²»ÄÜËµÍË°É         
[18:4:21][ÊÀ½ç]ASKKKK(8): ¾ÍÊÇÔÝÊ±²»Íæ¶øÒÑ         
[18:4:28][ÊÀ½ç]Stnzzd2(10): àÅ         
[18:4:33][ÊÀ½ç]ASKKKK(8): SA¾ÍÊÇÕâÑùÒ»¸öÓÎÏ·         
[18:4:37][ÊÀ½ç]ASKKKK(8): ÎÒµçÄÔÅäÖÃÔÙºÃ         
[18:4:41][ÊÀ½ç]ASKKKK(8): ÎÒÒ²²»»á·ÅÆú         
[18:4:42][ÊÀ½ç]Stnzzd2(10): ÔÝÊ±²»Íæ¼¸Ê®Ìì         
[18:4:44][ÊÀ½ç]Stnzzd2(10): e.e         
[18:4:52][ÊÀ½ç]ASKKKK(8): Ì«¶à»ØÒäÁËÀïÃæ         
[18:5:6][ÊÀ½ç]Stnzzd2(10): ÓÐ´ÎÍËÁË2¸ö¶àÔÂ         
[18:5:15][ÊÀ½ç]Stnzzd2(10): ²»¶Ô         
[18:5:20][ÊÀ½ç]Stnzzd2(10): 3¸öÔÂ¶àÒ»Ð©         
[18:5:33][ÊÀ½ç]Stnzzd2(10): È»ºó»ØÀ´µÄÊ±ºò·¢ÏÖ562ÊÇÉ¶¶¼²»ÖªµÀÁË         
[18:5:35][ÊÀ½ç]Stnzzd2(10): ÍêÈ«²»»á         
[18:5:40][ÊÀ½ç]ASKKKK(8): haha         
[18:6:0][ÊÀ½ç]Stnzzd2(10): È»ºó¾ÍÄÚ´Î »ØÀ´ÍæÁËÒ»Ìì·¢ÏÖ¸ã²»¶®Ö®ºó ¾Í²»ÍæÁË         
[18:6:27][ÊÀ½ç]ASKKKK(8): haha         
[18:6:30][ÊÀ½ç]ASKKKK(8): Äã»¹Í¦·ðÏµ         
[18:6:34][ÊÀ½ç]Stnzzd2(10): £¿         
[18:6:37][ÊÀ½ç]Stnzzd2(10): ÔõÃ´Ëµ         
[18:6:40][ÊÀ½ç]ASKKKK(8): ¸ã²»¶®¾Í²»ÍæÁË         
[18:6:47][ÊÀ½ç]Stnzzd2(10): hhh         
[18:6:59][ÊÀ½ç]ASKKKK(8): seaways         
[18:7:1][ÊÀ½ç]ASKKKK(8): seaway         
[18:7:2][ÊÀ½ç]Stnzzd2(10): Ò»°ãÈËÊÇ²»ÊÇ         
[18:7:6][ÊÀ½ç]ASKKKK(8): SEAWAYS         
[18:7:10][ÊÀ½ç]Stnzzd2(10): ¸ã²»¶®¾ÍÒ»¶¨Òª¸ã¶®         
[18:7:23][ÊÀ½ç]ASKKKK(8): Ò²²»ÊÇ°É         
[18:7:28][ÊÀ½ç]ASKKKK(8): ÄãÊÇ¸ã²»¶®¾ÍÍË         
[18:7:32][ÊÀ½ç]Stnzzd2(10): e.e         
[18:7:44][ÊÀ½ç]Stnzzd2(10): ÒòÎªÄÇÊ±ºò Î¨Ò»ÄÜÅãÎÒµÄ¾ÍÊÇ562ÁË         
[18:7:48][ÊÀ½ç]ASKKKK(8): ÕâÌ¨541ÊÇITC´óÉñÅÜµÄ         
[18:7:55][ÊÀ½ç]Stnzzd2(10): ÄÇÊ±ºòÎÒ¶¼²»Íæ411         
[18:8:6][ÊÀ½ç]ASKKKK(8): 411ÅÜÒ°Â·ºÜË¬µÄ         
[18:8:12][ÊÀ½ç]ASKKKK(8): ÓÐÃ»ÓÐ¿´ÎÒBÕ¾ÄÇÐ©ÊÓÆµ         
[18:8:17][ÊÀ½ç]ASKKKK(8): ºÜºÃÍæµÄ         
[18:8:22][ÊÀ½ç]Stnzzd2(10): 411ÊÇ2ÔÂ·Ý»¹ÊÇ1ÔÂ·Ý²Å¿ªÊ¼ÍæµÄ         
[18:8:27][ÊÀ½ç]Stnzzd2(10): Ò»ÖÜÍæ****         
[18:8:30][ÊÀ½ç]Stnzzd2(10): ¼¸´Î         
[18:8:33][ÊÀ½ç]Stnzzd2(10): ´ó¶àÊýÍæ562         
[18:8:37][ÊÀ½ç]Stnzzd2(10): Ã»         
[18:8:47][ÊÀ½ç]ASKKKK(8): ¾ÍÊÇÕâÖÖ         
[18:9:2][ÊÀ½ç]Stnzzd2(10): Äã¸Õ¸ÕËµ         
[18:9:6][ÊÀ½ç]Stnzzd2(10): ITCµÄ´óÉñ£¿         
[18:9:11][ÊÀ½ç]ASKKKK(8): àÅ         
[18:9:16][ÊÀ½ç]Stnzzd2(10): Ò²ÊÇ137Âï         
[18:9:22][ÊÀ½ç]ASKKKK(8): 541         
[18:9:24][ÊÀ½ç]ASKKKK(8): ²»Çå³þ         
[18:9:27][ÊÀ½ç]ASKKKK(8): ºÃÏñ¿ÉÒÔ136         
[18:9:30][ÊÀ½ç]Stnzzd2(10): wc         
[18:9:34][ÊÀ½ç]Stnzzd2(10): 541 136£¿         
[18:9:38][ÊÀ½ç]ASKKKK(8): ¹ú·þ×î¿ì411 LDZÓ¦¸Ã¾ÍÊÇhentaiÁË         
[18:9:41][ÊÀ½ç]ASKKKK(8): ²»Çå³þ         
[18:9:49][ÊÀ½ç]Stnzzd2(10): Íâ·þÄØ         
[18:9:52][ÊÀ½ç]Stnzzd2(10): ÊÀ½ç×î¿ì¶àÉÙ         
[18:9:53][ÊÀ½ç]Stnzzd2(10): e.e         
[18:10:2][ÊÀ½ç]Stnzzd2(10): wc ÕâµØ·½¾ÓÈ»ÄÜ³åÉÏÀ´         
[18:10:2][ÊÀ½ç]ASKKKK(8): ÄÇ¸ü¼Ó²»Çå³þÁË         
[18:10:3][ÊÀ½ç]Stnzzd2(10): ÎÒÊÔÊÔ         
[18:10:5][ÊÀ½ç]ASKKKK(8): àÅ         
[18:10:9][ÊÀ½ç]ASKKKK(8): ÓÐÈüµÀÄã¿ÉÒÔÊÔÊÔ         
[18:10:14][ÊÀ½ç]ASKKKK(8):  /r s FollowMe         
[18:10:17][ÊÀ½ç]Stnzzd2(10): ÎÒ¾Í»áldz         
[18:10:18][ÊÀ½ç]Stnzzd2(10): ..         
[18:10:24][ÊÀ½ç]Stnzzd2(10): ÆäËû¶¼Ã»ÅÜ¹ý         
[18:10:28][ÊÀ½ç]Stnzzd2(10): DTSÒ²»áÒ»µã         
[18:10:29][ÊÀ½ç]ASKKKK(8): ÕâÐ©Ò°Â·ÈüµÀÒ²ºÜºÃÍæµÄ         
[18:10:30][ÊÀ½ç]ASKKKK(8): ¿ÉÒÔÊÔÊÔ         
[18:10:36][ÊÀ½ç]ASKKKK(8): ²»Ò»¶¨¾ÖÏÞÔÚLDZ         
[18:10:48][ÊÀ½ç]ASKKKK(8): ÒÔÇ°´óÉñÒ²ºÜ¶àË**âÖÖÍ¼µÄ         
[18:10:55][ÊÀ½ç]ASKKKK(8): Ë¢ ÕâÖÖÍ¼         
[18:11:14][ÊÀ½ç]Stnzzd2(10): ÓÎÓ¾         
[18:11:27][ÊÀ½ç]Stnzzd2(10): ÎÒÏë¿´¿´ÄÄ¸öheitaiÅÜ         
[18:11:28][ÊÀ½ç]Stnzzd2(10): ..         
[18:11:32][ÊÀ½ç]ASKKKK(8): ÎÒÒ²Ïë         
[18:11:55][ÊÀ½ç]Stnzzd2(10): ITC¶¼ÊÇ´óÀÐÂð         
[18:12:10][ÊÀ½ç]ASKKKK(8): ¹úÄÚµÚÒ»³µ¶Ó         
[18:12:18][ÊÀ½ç]ASKKKK(8): Ô¶¹ÅÊ±ÆÚµÄÁË         
[18:12:27][ÊÀ½ç]ASKKKK(8): ÏÖÔÚ¶¼²»»îÔ¾ÔÚSAMPÁË         
[18:12:31][ÊÀ½ç]Stnzzd2(10): °¦         
[18:12:54][ÊÀ½ç]Stnzzd2(10): 411         
[18:13:0][ÊÀ½ç]ASKKKK(8): ÏÖÔÚ»îÔ¾³µ¶ÓÒ²ºÜÉÙÁË         
[18:13:6][ÊÀ½ç]ASKKKK(8): ÏÖÔÚ×îÀ÷º¦Ó¦¸ÃÊÇRSTÁË         
[18:13:12][ÊÀ½ç]ASKKKK(8): ¹úÄÚµÚÒ»562³µ¶Ó         
[18:13:13][ÊÀ½ç]Stnzzd2(10): àÅ         
[18:13:30][ÊÀ½ç]ASKKKK(8): ÍæÊý¾Ý×îÀ÷º¦¾ÍÊÇGNSÁË         
[18:13:39][ÊÀ½ç]Stnzzd2(10): genÊ²Ã´µÄÄÇ¸ö¶Ô°É         
[18:13:49][ÊÀ½ç]ASKKKK(8): àÅGensis         
[18:14:16][ÊÀ½ç]ASKKKK(8): Å£±ÆµÄÈË¶¼È¥ÄÇÁ½¸ö³µ¶ÓÁË         
[18:15:11][ÊÀ½ç]Stnzzd(9): ÄãÁ÷Åú»¹ÊÇ¹¤±ø         
[18:15:18][ÊÀ½ç]ASKKKK(8): £¿         
[18:15:28][ÊÀ½ç]Stnzzd(9): ÄãÁ©Ë­¸ülihai         
[18:15:33][ÊÀ½ç]Stnzzd(9): Ò»Ð©         
[18:15:33][ÊÀ½ç]ASKKKK(8): ¹¤±øÀ÷º¦°¡         
[18:15:42][ÊÀ½ç]ASKKKK(8): ¹¤±øÊÇGNS RSTË«³µ¶ÓµÄ         
[18:15:48][ÊÀ½ç]Stnzzd(9): wc         
[18:15:54][ÊÀ½ç]Stnzzd(9): ²»ÊÇÖ»ÄÜÈ¥Ò»¸ö³µ¶Óma         
[18:16:10][ÊÀ½ç]ASKKKK(8): RSTÖ®Ç°ºÃÏñÖ»ÄÜÒ»¸ö³µ¶Ó         
[18:16:19][ÊÀ½ç]ASKKKK(8): µ«ÊÇ¹¤±øºÃÏñÊÇÌØÅúµÄ         
[18:16:24][ÊÀ½ç]Stnzzd(9): ÎÒÈ¥ ÌØÅú         
[18:16:34][ÊÀ½ç]ASKKKK(8): ºÃÏñÊÇ°É         
[18:16:39][ÊÀ½ç]ASKKKK(8): ÎÒÒ²²»ÊÇRSTµÄÒ²²»ÁË½â         
[18:16:44][ÊÀ½ç]Stnzzd(9): Äã²»ÊÇ£¿£¿         
[18:16:52][ÊÀ½ç]ASKKKK(8): ÎÒRCµÄ°¡         
[18:16:58][ÊÀ½ç]Stnzzd(9): ¶Ó³¤ma         
[18:17:2][ÊÀ½ç]ASKKKK(8): àÅ         
[18:17:13][ÊÀ½ç]Stnzzd(9): ÓÐ¶àÉÙÈË         
[18:17:16][ÊÀ½ç]ASKKKK(8): ÎÒÊÇRCµÚËÄ¸ö¶Ó³¤ÁË...         
[18:17:22][ÊÀ½ç]ASKKKK(8): ÈýÊ®¶à°É         
[18:17:26][ÊÀ½ç]Stnzzd(9): Îßºþ         
[18:17:27][ÊÀ½ç]ASKKKK(8): ÎÒ¿´¿´         
[18:17:45][ÊÀ½ç]ASKKKK(8): ÈºÀï44¸ö         
[18:17:51][ÊÀ½ç]ASKKKK(8): µ«ÊÇºÜ¶à¶¼ÊÇ¶à³µ¶ÓµÄ         
[18:18:0][ÊÀ½ç]ASKKKK(8): ºÜ¶àÒ²¶¼È¥ÁËGNSºÍRST         
[18:18:24][ÊÀ½ç]ASKKKK(8): Ê¤¸çÒ²È¥ÁË         
[18:18:31][ÊÀ½ç]Stnzzd(9): àÅ         
[18:18:47][ÊÀ½ç]ASKKKK(8): ×îºóÒ»ÅúµÄÈË¿ÉÒÔ¶à³µ¶ÓÁË         
[18:18:49][ÊÀ½ç]Stnzzd(9): ÎÒÈ¥RCÖ®ºóÊÇ²»ÊÇ×î²ËµÄÁË         
[18:18:50][ÊÀ½ç]Stnzzd(9): e.e         
[18:19:5][ÊÀ½ç]ASKKKK(8): ÄãÅÜµÄ±ÈÎÒ»¹¿ì         
[18:19:9][ÊÀ½ç]ASKKKK(8): ÄÇ¿Ï¶¨²»ÊÇ         
[18:19:14][ÊÀ½ç]ASKKKK(8): ×î²ËµÄÊÇÎÒ°¡         
[18:19:17][ÊÀ½ç]Stnzzd(9): P         
[18:19:59][ÊÀ½ç]ASKKKK(8): ÎÒ¶ÓÓÑ¸ö¸ö¶¼ÊÇÐ©´óÀÐ         
[18:20:13][ÊÀ½ç]Stnzzd(9): RC³ýÁËÄã         
[18:20:13][ÊÀ½ç]ASKKKK(8): Å°ÎÒ²»ÔÚ»°ÏÂ         
[18:20:16][ÊÀ½ç]Stnzzd(9): Ã»ÓÐ         
[18:20:19][ÊÀ½ç]Stnzzd(9): µ¥¶ÀRCµÄÃ´         
[18:20:30][ÊÀ½ç]ASKKKK(8): àÅÓÐµÄ»°¶¼²»»îÔ¾ÁË         
[18:20:39][ÊÀ½ç]ASKKKK(8): »îÔ¾µÄ»ù±¾¶¼¶à³µ¶ÓÁË         
[18:20:40][ÊÀ½ç]Stnzzd(9): º¦         
[18:21:5][ÊÀ½ç]ASKKKK(8): ±Ï¾¹GNS ºÍ RSTÓÐ¸ü´óµÄÆ½Ì¨         
[18:21:26][ÊÀ½ç]ASKKKK(8): Ö®Ç°ÎÒÃÇ¿ªÍæÐ¦ËµRCÊÇRSTÔ¤±¸¶Ó         
[18:21:35][ÊÀ½ç]Stnzzd(9): emmm         
[18:22:2][ÊÀ½ç]ASKKKK(8): SAMPÒ²ÉÙÈËÍæÁË         
[18:22:4][ÊÀ½ç]ASKKKK(8): ±Ï¾¹         
[18:22:15][ÊÀ½ç]ASKKKK(8): Ê®¶àÄêµÄÀÏÓÎÏ·ÁË         
[18:22:28][ÊÀ½ç]ASKKKK(8): »¹ÔÚ¼á³ÖµÄÄÇÐ©¸¯ÖñºÍ¹ÜÀíÕæµÄÀ÷º¦         
[18:22:35][ÊÀ½ç]Stnzzd(9): ±ÈÈç         
[18:22:50][ÊÀ½ç]ASKKKK(8): ±ÈÈçRSTµÄ¸¯Öñ         
[18:22:52][ÊÀ½ç]ASKKKK(8): Hygen         
[18:23:6][ÊÀ½ç]ASKKKK(8): »¹ÓÐKiVen         
[18:23:43][ÊÀ½ç]Stnzzd(9): ÎÒ·¢ÏÖÎÒÊÇ¸öÓéÀÖÍæ¼ÒÁË         
[18:23:44][ÊÀ½ç]Stnzzd(9): e.e         
[18:23:46][ÊÀ½ç]Stnzzd(9): Ã»É¶¼¼Êõ         
[18:23:54][ÊÀ½ç]ASKKKK(8): ±ðÕâÃ´Ëµ         
[18:23:59][ÊÀ½ç]ASKKKK(8): Ë­Íæ¸öÓÎÏ·²»ÊÇÔ¼ÁË         
[18:24:7][ÊÀ½ç]ASKKKK(8): Ë­Íæ¸öÓÎÏ·²»ÊÇÓéÀÖ         
[18:24:17][ÊÀ½ç]Stnzzd(9): ºÃÏñÒ²ÊÇ         
[18:24:37][ÊÀ½ç]ASKKKK(8): ÎÒ¾õµÃÄÇÖÖÓÐ¼¼ÊõÈ»ºó²»È¥×§±ðÈËµÄ´óÉñ         
[18:24:40][ÊÀ½ç]ASKKKK(8): ²ÅÊÇÕæµÄÀ÷º¦         
[18:24:47][ÊÀ½ç]Stnzzd(9): £¿         
[18:24:59][ÊÀ½ç]Stnzzd(9): ×Ô¼ºÍæ×Ô¼ºµÄ²»È¥ºÍ±ðÈË±È´ò»÷±ðÈËÄÇÖÖÂð         
[18:25:2][ÊÀ½ç]ASKKKK(8): ÓÐÐ©ÈË¼¼ÊõÀ÷º¦ÁËÖ®ºó»áÆ¯µÄ         
[18:25:9][ÊÀ½ç]ASKKKK(8): ²î²»¶à°É         
[18:25:13][ÊÀ½ç]ASKKKK(8): ²»×§±ðÈË         
[18:25:15][ÊÀ½ç]Stnzzd(9): e..         
[18:25:16][ÊÀ½ç]Stnzzd(9): ±ÈÈç         
[18:25:18][ÊÀ½ç]ASKKKK(8): ×Ô¼º»¹ÄÜ±£³ÖÇ«Ðé         
[18:25:19][ÊÀ½ç]Stnzzd(9): Ë­         
[18:25:21][ÊÀ½ç]Stnzzd(9): Æ®ÁË         
[18:25:30][ÊÀ½ç]ASKKKK(8): Õâ¸öÎÒ²»ºÃËµ         
[18:25:36][ÊÀ½ç]ASKKKK(8): SAÕâ¸öÈ¦×ÓÓÐÕâÖÖÈËµÄ         
[18:25:41][ÊÀ½ç]ASKKKK(8): É¶È¦×Ó¶¼ÊÇµÄ         
[18:25:51][ÊÀ½ç]ASKKKK(8): ×Ô¼º¼¼ÊõÀ÷º¦ÁË¾Í¾õµÃ×Ô¼ºÀÏNBÁË         
[18:26:25][ÊÀ½ç]Stnzzd(9): °¦         
[18:27:0][ÊÀ½ç]ASKKKK(8): ´ó¼ÒÍæ¸öÓÎÏ·¾ÍÍ¼¸ö¿ªÐÄ         
[18:27:11][ÊÀ½ç]ASKKKK(8): ¹ÜËûÉ¶ÄØ         
[18:27:16][ÊÀ½ç]ASKKKK(8): ×Ô¼ºÍæµÄ¿ªÐÄ×îÖØÒª         
[18:27:24][ÊÀ½ç]Stnzzd(9): àÅ         
[18:27:27][ÊÀ½ç]ASKKKK(8): ÔÚSAMP»¹ÈÏÊ¶ÁËÕâÃ´¶àÅóÓÑ         
[18:27:30][ÊÀ½ç]ASKKKK(8): Í¦¿ªÐÄµÄ²»ÊÇ         
[18:27:51][ÊÀ½ç]Stnzzd(9): ÏÈÏÂÁË ÍæÌ«¶àÁË Í·ÔÎ         
[18:27:53][ÊÀ½ç]Stnzzd(9): °×°×         
[18:27:54][ÊÀ½ç]ASKKKK(8): àÅàÅ88888         
